rank,school_name,school_type,location,school_code,homepage,food_photo_url,estimated_posts
90,군서고등학교,고등학교,경기도 시흥시 군서마을로 100,7530766,https://gunseo-h.goesh.kr/,https://gunseo-h.goesh.kr/gunseo-h/ad/fm/foodmenu/selectFoodMenuView.do?mi=4372,2
91,구지초등학교,초등학교,경기도 구리시 건원대로76번길 40,7652023,http://kuji-e.goegn.kr,http://kuji-e.goegn.kr/kuji-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=14044,2
92,궁내초등학교,초등학교,경기도 군포시 수리산로 187,7642012,http://gungnaecho.goegu.kr,http://gungnaecho.goegu.kr/gungnaecho/ad/fm/foodmenu/selectFoodMenuView.do?mi=4343,2
93,군남초등학교,초등학교,경기도 연천군 군남면 진상17길 46,7701010,https://gunnam-em.goeyc.kr/gunnam-em/main.do,https://gunnam-em.goeyc.kr/gunnam-em/ad/fm/foodmenu/selectFoodMenuView.do?mi=2175,2
94,군남중학교,중학교,경기도 연천군 군남면 진상17길 46,7701004,https://gunnam-em.goeyc.kr/gunnam-em/main.do,https://gunnam-em.goeyc.kr/gunnam-em/ad/fm/foodmenu/selectFoodMenuView.do?mi=2175,2
95,군서미래국제학교,각종학교(중),경기도 시흥시 봉우재로37번길 5,7781166,https://gsgs-s.goesh.kr/gsgs-s/main.do,https://gsgs-s.goesh.kr/gsgs-s/ad/fm/foodmenu/selectFoodMenuView.do?mi=1753,2
96,군서미래국제학교(초),각종학교(초),경기도 시흥시 봉우재로37번길 5,7781177,https://gsgs-s.goesh.kr/gsgs-s/main.do,https://gsgs-s.goesh.kr/gsgs-s/ad/fm/foodmenu/selectFoodMenuView.do?mi=1753,2
97,군서초등학교,초등학교,경기도 시흥시 정왕천로427번길 30,7781021,https://kunseo-e.goesh.kr/,https://kunseo-e.goesh.kr/kunseo-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=7274,2
98,군자초등학교,초등학교,경기도 시흥시 군자로 539,7781020,https://kunja-asn-e.goesh.kr,https://kunja-asn-e.goesh.kr/kunja-asn-e/ad/fm/foodmenu/selectFoodMenuView.do?mi=8772,2
99,군포대야초등학교,초등학교,경기도 군포시 대야2로 148,7642075,https://gunpodaeyacho.goegu.kr,https://gunpodaeyacho.goegu.kr/gunpodaeyacho/ad/fm/foodmenu/selectFoodMenuView.do?mi=6864,2
100,군포초등학교,초등학교,경기도 군포시 군포로 463,7642010,https://gunpocho.goegu.kr,https://gunpocho.goegu.kr/gunpocho/ad/fm/foodmenu/selectFoodMenuView.do?mi=2365,2
